,Age,BI,EE,Exp,FC,Gender,HAB,HM,PE,PV,SI
Experience,,,,1,,,,,,,
FACL1,,,,,0.206,,,,,,
FACL2,,,,,0.189,,,,,,
FACL3,,,,,0.605,,,,,,
FACL4,,,,,0.277,,,,,,
HAB1,,,,,,,0.311,,,,
HAB2,,,,,,,0.283,,,,
HAB3,,,,,,,0.276,,,,
HAB4,,,,,,,0.292,,,,
INFL3,,,,,,,,,,,0.353
INT1,,0.349,,,,,,,,,
INT2,,0.339,,,,,,,,,
INT3,,0.331,,,,,,,,,
MOTIV1,,,,,,,,0.374,,,
MOTIV2,,,,,,,,0.368,,,
MOTIV3,,,,,,,,0.323,,,
NORM1,,,,,,,,,,,0.328
NORM2,,,,,,,,,,,0.354
PEOU1,,,0.142,,,,,,,,
PEOU3,,,0.326,,,,,,,,
PEOU5,,,0.234,,,,,,,,
PEOU6,,,0.39,,,,,,,,
PERF1,,,,,,,,,0.279,,
PERF2,,,,,,,,,0.257,,
PERF3,,,,,,,,,0.264,,
PERF4,,,,,,,,,0.286,,
VALUE1,,,,,,,,,,0.274,
VALUE2,,,,,,,,,,0.363,
VALUE3,,,,,,,,,,0.395,
age,1,,,,,,,,,,
gender,,,,,,1,,,,,